username,comment,link_video,publish_date,like_count,view_count
@IisNeni-j7g2w,"Podcast penuh tawa tp sedihh secara bersamaan dr awal smpe akhirr...
Semangat yaa vid, aku  juga lagi survive sm penyakit ginjalku.
Dan sllu berusaha terlihat bahagia di dpn anak, pdhl byk ketakutan yg dihadapi.
Bangun dan tdr msih dikasih nafas dan msih bersama org tersayang itu rasanya dunia baik2 aja",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@indahbeauty8182,MASYA ALLAH... TERIMA KASIH SHEILA UDAH MAU DATENG KE PODHUB. DAN INI EPISODE TER TER TER TERFAVORITE YANG PASTI BAKAL GW TONTON RATUSAN KALI SIH. KARNA PERPADUAN KAK ADHI DISITU TUH PAS BANGET JUGA KARNA DIA TAU TENTANG PERJALANAN KISAH CINTA SHEILA DAN VIDI. LOVE LOVE POKOKNYA,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@mirfaulula5300,"adhi tuh cocok setiap di undang di podhub, seru banget pas ngomong dan joke nya ngena di semua jadi kayak nyambung. pinter pembawaannya, keliatan luwes banget.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@chyntiaaveiro4429,"Nonton episode ini kok terharu yaaa... Tatapan om ded ke ka vidi n' ka sheila dalem bangettt, kek bahagia banget om ded liat mereka berduaa...",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Rudiirawan93,Gila parah pertama kali nonton podhub gakpakek skip 1jam30mnt seseru itu lihat vidi dan sheila. Bahagia selalu buat kalian yaa,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Ayo-M4in-di-PawPaw4D,"Counter nya Vidi akhirnya di datangkan 
agak kaget juga disini ka sheila yang keliatannya Introvert tapi bisa menjadi ekstrovert parah 
seruuu pecah banget pokok nya",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@nataliakurniawan5685,"Demiiii apaaaaaaaaa, whatttt, akhirnyaaaaaaaa Sheilaaaaaaa Dara datang ke podhub, waahhhhh happy banget nontonnya, kurang lama euy durasinya hahahaaha, lagi lagi lagi. Sheila Vidi keren sih. Seneng ih nonton mereka. Terima kasih podhub.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@KYT4D-SITUS-G4C0R-G00GLE,Pasangan harus ada keterbukaan apabila ada kekurang saling melengkapi dan tidak ada boleh ada ego,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@sitihasanatun2558,Kalo liat pasangan yg kya cuekan gini si pas liat mereka nyentuh tangan aja udah berasa sosweet bngt ...suka bnget melihat cara berpasangan nya lebih elegan dan  saling melengkapi skali... Doa terbaik buat pasangan ini,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@viviaryanti9248,"Akhirnya dr sekian lama....kak Sheila diundang jg di podhub....terima kasih om Deddy & kak Vidi ...seneng bgt jd makin seru nih
Kak Vidi & kak Sheila sweet bgt kalian ️",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
